comm_name,short,members_count,about_comm
Migraine Support,Migraine,3595.0,"We are a peer support community for people living with migraines. Here we share our experiences, ask questions and support each other!"
JIA-at-NRAS,Arthritis,407.0,"This community is for anyone affected by the condition, Juvenile Idiopathic Arthritis (JIA). It  is run by the National Rheumatoid Arthritis Society ("
Low-Carb High-Fat (LCHF),Low-carb high-fat diet,2845.0,"This is a community about Low-carb High-Fat (LCHF) diet. A place for sharing experiences, asking questions and learning with others."
LUpus Patients Understanding and Support,Lupus,3487.0,"Lupus Patients Understanding &amp; Support (LUPUS) is a non-profit organisation for patients-affected-by-systemic lupus erythematosus, lupus variant c"
CLL Ireland,Chronic lymphocytic leukemia,,CLL Ireland is a community dedicated to providing reliable information and support to its members
Kidney Transplant Patient Support,Kidney transplant,1347.0,Welcome to our community! We are a group of people all affected by kidney transplants looking to share information and support.
Nutrition and Yoga for Health,Nutrition and yoga,1451.0,"Holistic health pioneer, yoga teacher and author, Ciara Jean Robert brings you this community.  Her wish is to share with you helpful tools on your ow"
Young Adults with Melanoma,Young adults melanoma,435.0,"Welcome to the Young Adults with Melanoma community, a place where you can access peer to peer support from others affected by melanoma."
Living with Fatty Liver and NASH,Fatty liver,8361.0,Living with Fatty Liver or NASH is a community of the Fatty Liver Foundation dedicated to supporting individuals who have been diagnosed or are at-ris
Melanoma Caregivers,Melanoma caregivers,291.0,"Welcome to the Melanoma Caregiver community, a place where you can access peer to peer support. We are the partners, parents, children and other loved"
MY SKIN,Skin conditions,8806.0,"Welcome to the MY SKIN Community, a peer support community for those experiencing issues with their skin. Join us to share your story and experiences,"
Crohn's & Colitis,Crohn's & colitis,44.0,Welcome to our online community and get the support you need in managing your condition. We know living with Crohn’s disease or ulcerative colitis can
HIV Partners,HIV partners,2341.0,Forum Link has joined forces with the HealthUnlocked team to create this HIV positive online community. We want to make it easier for HIV positive peo
PNI ORG UK,Postnatal illness,1083.0,A community for people affected by Post-Natal Illness looking for support and information. It is run by PNI ORG UK and exists to help people sufferers
Gluten Free Guerrillas,Gluten sensitivities,10899.0,Gluten Free Guerrillas is a group dedicated to supporting people with Coeliac Disease or Gluten sensitivities. Share your experiences about diagnosis 
NHS England: A Call to Action,National health service,,"NHS England is calling on patients, the public and staff to join in a discussion about the future of the NHS, so it can plan how best to deliver servi"
Aspergillosis and Rare Fungal Infection Support,Rare fungal infection,3897.0,Serious fungal infections are very rare but also very under-diagnosed and that has several consequences.1) There are many more cases than we currently
Myeloma UK,Myeloma,325.0,"The aim of this community is to provide a supportive, informative and friendly community for people affected by myeloma.Myeloma UK is the only organis"
Charcot-Marie-Tooth UK,Hereditary neuropathy,1690.0,CMTUK  provides support for people with Charcot-Marie-Tooth  disease(CMT) and  Hereditary Neuropathy with Pressure Palsy (HNPP).Our helpline is manned
Liver,Liver health,2038.0,Liver4Life is run by a few individuals passionate about liver health. We all have extensive backgrounds of working in the health and charity sector an
Mindful Emotion Coaching,Mindful emotion coaching,149.0,Mindful Emotion Coaching is a community dedicated to providing reliable information and support to its members.
Alopecia UK,Alopecia,1509.0,"Alopecia UK is a small national charity working to improve the lives of those affected by alopecia through aims of support, awareness, research and fu"
Multiple System Atrophy Trust,Multiple system atrophy,1850.0,The Multiple System Atrophy Trust is the only charity in the UK and Ireland that provides information and support to people affected by Multiple Syste
Prostate Cancer Under,Prostate cancer,369.0,Welcome   Men who were diagnosed before their 60th birthday and all those who love us.   Please use this group to discuss things you might not feel co
Encephalitis International,Encephalitis,705.0,"Who are we?We are Encephalitis International - a community dedicated to providing information and support to people worldwide, raising awareness and h"
Myasthenia Gravis Association,Myasthenia,429.0,"We are an online support community for people with myasthenia and their families. Join us to share your experience, ask questions and support one anot"
EDMESH,Chronic fatigue syndr.,2049.0,We are a charity primarily focused on helping patients and their families with ME (Myalgic Encephalomyelitis) and CFS (Chronic Fatigue Syndrome) livin
Memory Health: Alzheimer's Support Group,Alzheimer's,1359.0,"Welcome to MyBrainTest Health, a social community dedicated to providing evidence based information on memory loss causes, and early stage Alzheimer's"
FND Action,Neurological disord.,706.0,"History has created a lot of misconception of Functional Neurological Disorders which has led to poor treatment and care of those diagnosed, which inc"
Autism Support,Autism,3783.0,"This Autism Support Community is an online peer to peer support network of people affected by autism. If you, or someone you love, is living with auti"
Colon Cancer Connected,Colon cancer,14721.0,Welcome to the Global Colon Cancer Association's HealthUnlocked Community! HealthUnlocked is a social network for health. By finding others with simil
Fight MPN, Myeloproliferative neoplasms,849.0,"Welcome to the Fight MPN community! This is a safe space for anyone affected by myeloproliferative neoplasms (MPN) to find support, share advice and m"
PBCers Organization,Primary bil. cholangitis,1494.0,PBCers Organization is a community dedicated to providing reliable primary biliary cholangitis (PBC) information and offer support to its members. Top
OvaCare,Ovarian cancer,2059.0,We are a charity that aims to improve the diagnosis and education of ovarian cancer within Ireland.
Healthy Evidence,Medicine news,3071.0,"Every month there are dozens of news reports about medical breakthroughs, health scares and wonder drugs. The Healthy Evidence community is a place fo"
ITP Support Association,Immune thrombocytopenia,4157.0,Registered UK charity supporting sufferers of the auto immune bleeding disorder Immune Thrombocytopenia. Views expressed are those of individuals & no
Couch to Buddha,Meditation,343.0,"Welcome to couchtobuddha, a community where you can learn and connect with others interested in meditation."
Meningitis Now,Meningitis,6925.0,"Meningitis can strike in an instant, but the impact can last a lifetime. At Meningitis Now we offer support to anyone living in the UK who has been af"
Lipoedema UK,Lipoedema,889.0,"We are a community dedicated to supporting those with Lipoedema, which is an inherited disease that makes you accumulate fat below the waist, often gi"
SWEDA,Eating disord.,627.0,"Having an eating disorder, or supporting someone who has, can be a distressing and bewildering experience. Somerset and Wessex Eating Disorders Associ"
MyDirectives: Make your medical wishes known!,MyDirectives app,70.0,"MyDirectives is the first completely digital emergency, critical and advance care planning service that is secure, easy to understand, and free to con"
Pelvic Radiation Disease Association,Pelvic radiation disease,743.0,The PRDA community is a peer support group where people can ask questions and share their experiences as well as supporting each other in living with 
Weight Loss Surgery Info,Weight loss surgery,1139.0,WLSinfo is a registered charity (no 1103151) set up and run entirely by volunteers and maintained by donations from members.Aims and Objectives of the
Pancreatic Cancer Action,Pancreatic cancer,1789.0,"Pancreatic Cancer Action aims to support those impacted by pancreatic cancer. We do this by increasing awareness, influencing government policy and pr"
My Cancer Community,Cancer,1716.0,"Welcome to My Cancer Community. This is a safe space to connect with others who’ve been impacted by cancer. Whether you are going through treatment, h"
Cure Arthritis Community,Arthritis,2848.0,"We’re a US-based non-profit searching for a cure to help an estimated 50 million Americans and 300,000 children afflicted with various forms of arthri"
Sexual Health Matters,Sexual health,,This is a community hoping to bring together thoughts are queries from people concerned about their sexual health. Promoting safe and happy sexual pra
Adult Acne Support,Adult acne,1158.0,"Welcome to the Adult Acne Support community! This community is for people who are experiencing acne in adulthood to discuss treatments, share experien"
Skin Cancer UK,Skin cancer,468.0,WE ARE SKCIN.·  The UK’s national melanoma and skin cancer charity dedicated to raising awareness through education to promote the prevention and earl
Diabetes & Hypertension Help Society,Diabetes & hypertension,10922.0,"The diabetes and hypertension community is your place to ask questions, get answers and support others impacted by the condition. It is open to everyo"
Canadian Organization for Rare Disorders,Rare disord.,201.0,CORD is Canada's national network for organizations representing all those with rare disorders. CORD provides a strong common voice to advocate for he
Asperger's Support,Asperger's,1617.0,Asperger's Support is a community dedicated to providing a safe space for those suffering from Asperger's to connect and receive support from others i
Epilepsy Research Institute,Epilepsy,2353.0,Epilepsy Research UK is the only national organisation exclusively dedicated to funding research into all areas of epilepsy.  Epilepsy can be a very d
Epilepsy Society,Epilepsy,900.0,We are a community dedicated to supporting people affected by epilepsy and seizures.
Living Well with HIV,HIV,1023.0,"This community is for people affected by HIV/ AIDS. If you or someone you know is positive, this is a safe peer support community is for you."
Acoustic Neuroma Support,Acoustic neuroma,2769.0,"Welcome to The Brain Tumour Charity Acoustic Neuroma peer support online community for those affected by Acoustic Neuroma (Vestibular Schwannoma), a r"
TB Alert,Tuberculosis,1089.0,We are community dedicated to supporting patients and families impacted by tuberculosis (TB).
Bladder Health UK,Bladder health,1268.0,"The Bladder Health UK Foundation gives support to people with all forms of cystitis, overactive bladder and continence issues together with their fami"
FASD Support,Foetal alcohol spectr. dis.,957.0,"Foetal Alcohol Spectrum Disorders (FASD) Support is an online community dedicated to providing a safe space for all people, families and communities a"
LDN Research Trust,Naltrexone,1443.0,"The primary aim of the Trust is to initiate Clinical Trials of Low Dose Naltrexone.   Whilst working to raise funds for trials, we have helped over 16"
Eczema Association of Australasia Inc,Eczema,441.0,"We support and educate Eczema sufferers and carers, along with the wider community, in all aspects of Eczema and its impact in Australia and New Zeala"
Non Hodgkin's Lymphoma Friends,Non hodgkin's lymphoma,1811.0,"Patient Empowerment Network (PEN) is honored to offer a peer-support community for those living with Non-Hodgkin's Lymphoma, their families and their "
OCD Support,Obsess. compuls. disord.,,This community has been archived. Please use the Search function to find other relevant communities on the platform: healthunlocked.com/search
Fibro Friends WSM,Fibromyalgia,1106.0,"Fibro Friends WSM is registered with the Fibroduck Foundation Our aim is to reach out to others in the area with Fibromyalgia, Chronic Fatigue and Sim"
Living with Lyme Disease UK,Lyme disease ,256.0,Welcome to LWLD community!  Here you can share your experiences about living with Lyme Disease in a non-judgemental friendly environment. The philosop
Tourettes Action,Tourette syndr.,1284.0,"This group connects people, volunteers and professionals involved with Tourettes for support and help online."
AMN EASIER,Adrenomyeloneuropathy,1326.0,AMN Easier was set up to help men and women who have adrenomyeloneuropathy (AMN) -  to help make this disease a bit easier to live with.AMN EASIER pro
Blue Faery Liver Cancer,Liver cancer,703.0,"Blue Faery’s mission is to prevent, treat and cure primary liver cancer, specifically Hepatocellular Carcinoma (HCC), through research, education and "
Action on Pain,Chronic pain,1921.0,"Action on Pain is a national charity established in 1998 by Ian Semmons, our Chairman, as a result of his own frustration that it took so long to get "
Continence Support,Continence,672.0,"Welcome to the Continence Support Community on HealthUnlocked, a dedicated space for individuals experiencing incontinence to find support, share expe"
SHARE Uterine Cancer Support,Uterine cancer,356.0,"SHARE Uterine Cancer Support is a space where you can feel safe, supported, and empowered to tell your story and discuss your experiences with uterine"
Understanding Clinical Trials,Clinical trials,1327.0,This community is dedicated to engaging the public and patients as partners in the clinical research process. It is run by The Center for Information 
Group B Strep Support,Group B strep,757.0,"This is a community dedicated to helping those affected by group B Strep (GBS). GBS is a common bacterium that lives in 20-30% of adults, usually with"
Circulation Foundation,Circulation,609.0,"We are an online peer support community for everyone affected by circulatory disorders. Join us to share your experience, ask questions and support on"
Cervical Myelopathy,Cervical myelopathy,639.0,Cervical Myelopathy is caused by deterioration in the spine in the neck leading to compression of the spinal cord and symptoms such as “numb” and “clu
Vegan Foods for Life,Vegan foods,998.0,Vegan Foods for Life is a community for vegans and those interested in learning more about the vegan diet to chat and support each other. Feel free to
Different Strokes,Stroke survivors,1329.0,"We are a peer support community for working age stroke survivors. Here we share our stories, ask questions and support each other. Join us to tell you"
Paget’s Support,Paget’s diseas,302.0,"This is a safe online community for anyone affected by Paget's disease to share advice, find support and meet others who truly understand.Whether you'"
Sickle Cell Society,Sickle cell disord.,2019.0,"The Sickle Cell Society is Britain’s only national charity for sickle cell disorders, an inherited haemoglobin disorder. The Sickle Cell Society was f"
Living with Sickle Cell Disease,Sickle cell diseas,496.0,Living with Sickle Cell Disease is a community dedicated to supporting individuals affected by sickle cell disease; whether you've been diagnosed with
PKD Charity for Autosomal Dominant PKD,Kidney disease,1173.0,We are a community dedicated to supporting individuals and families affected by Autosomal Dominant Polycystic Kidney Disease or ADPKD.The PKD Charity 
Myositis UK,Myositis,1370.0,"Myositis UK is a community providing information and support to individuals and their families affected by Dermatomyositis, Polymyositis, Inclusion Bo"
LGBT Cancer Community,LGBT cancer,219.0,"A friendly, safe, informal atmosphere where we can pick each other's brains.   Talking about cancer in our community is a powerful tool. Our community"
Sports Injury,Sports injury,253.0,"A community dedicated to supporting people who want to get back to sport, improve performance and encourage others to have a go!"
Chronic Pancreatitis Support,Chronic pancreatitis,1065.0,"Welcome to the Chronic Pancreatitis Support community, here to support anyone impacted by chronic pancreatitis and related conditions, such as EPI (Ex"
Baby and Us,Pregnancy & parenting,2072.0,We are a peer support community for parents! Here we share experiences and support each other through the journey of pregnancy and parenting. Join to 
Not Defined By Endometriosis,Endometriosis,470.0,"We are a peer-support group providing support to fellow endometriosis warriors and advocating and fighting for better research, funding and an eventua"
Graduates of GGC PMP,Pain management,54.0,"Welcome to the online community forum for graduates of the Greater Glasgow & Clyde Pain Management Programme (PMP), in partnership with Pain Concern c"
Borders Pain Management,Pain management,178.0,We are a peer support group specifically for individuals affected by Chronic Pain within the Scottish Borders. We offer support and advice to those di
SNRPMP Graduates Group,Pain management,34.0,"Welcome to the online community forum for graduates of the NHS Scottish National Residential Pain Management Programme (PMP), in partnership with Pain"
"Fertility, Miscarriage & IVF Support",Fertility & miscarriage,3789.0,"The Fertility, miscarriage and IVF Support community is run by HealthUnlocked and is an online peer-to-peer support network for people affected by any"
Infertility Support,Infertility,1536.0,Infertility Support  is a community dedicated to providing reliable information and support to its members.
Living with Interstitial Lung Disease (ILD),Interstitial lung disease,157.0,The CHEST Foundation is the patient-focused philanthropic arm for the American College of Chest Physicians. Our mission is to champion lung health by 
Gender Identity,Gender identity,160.0,"Hello, and welcome to Gender Identity!The Gender Identity community is here to provide help and support for people living with Gender Identity issues "
Allergic to Glycols,Allergic to glycols,217.0,"This is a support community for people learning to live with allergies to glycol compounds: Polyethylene glycol (PEG, PPG), propylene glycol (PG), eth"
BWS Support, Beckwith-Wiedemann syndr.,715.0,"A community dedicated to supporting those with Beckwith-Wiedemann Syndrome (BWS), which is an overgrowth disorder."
The Dyslexia Community,Dyslexia,2344.0,"The Dyslexia Community is a peer support community for all those affected by dyslexia to discuss, share tips and find support. Why not introduce yours"
Survivors of Childhood Brain Tumours,Childhood brain tumours,102.0,"Welcome to the Survivors of Childhood Brain Tumour Community Group, established by Success Charity. Success Charity is committed to enabling brighter "
Stanmore Young Spine Group,Othopaedic hospital,210.0,"The Royal National Orthopaedic Hospital NHS Trust (RNOH) is the largest orthopaedic hospital in the UK, and is regarded as a leader in the field of or"
Sweet's Syndrome UK,Sweet's syndr.,489.0,Sweet's Syndrome UK is a Derbyshire-based (formerly Cardiff-based) patient group that helps those with the rare autoinflammatory condition and neutrop
SarcoidosisUK,Sarcoidosis,447.0,"We are an online support community for people who experience Sarcoidosis. Join today and get support, help others, and discuss your personal experienc"
Lynch Syndrome UK,Lynch syndr.,119.0,Lynch syndrome (LS) is a genetic disorder that causes an increase in certain cancers at an earlier age than usual. There about 12 cancers that can be 
Gynae Cancer Support,Gynecologic cancer,1686.0,"The Gynae Cancer Support Community is an online safe space for people impacted by gynecologic cancer  (including cervical, ovarian, uterine, vaginal, "
Chronic Myofascial Pain,Chronic pain,509.0,We have set up this community in order to provide support for anyone suffering from Chronic Myofascial Pain (CMP); to provide and share information ab
LIVErNORTH,Liver health,439.0,"We are a adult liver patient support group based at the Freeman Hospital in Newcastle upon Tyne, England. Whatever kind of liver disease you may have,"
DC Action,Dyskeratosis congenita ,30.0,"We are a peer support group for people and families affected by telomeropathies and dyskeratosis congenita (DC). DC Action aims to improve diagnosis, "
The UK Mastocytosis Support Group,Mastocytosis,635.0,The UK Mastocytosis Support Group community is for anyone with diagnosed or un-diagnosed Mast Cell Diseases or those supporting them.The UK Mastocytos
SHARE Ovarian Cancer Support,Ovarian cancer,2827.0,"SHARE Ovarian Cancer Support is a space where you can feel safe, supported, and empowered to tell your story and discuss your issues. SHARE peer volun"
Nutriri Mindful Eating,Mindful eating,777.0,This group mostly congregates on our non-profit Co-Learning Hub... a trusted space to connect just as we are; no right or wrong way to show up and par
Hearing Link,Hearing loss,622.0,"Hearing Link is a peer support community for people with hearing loss.  Join to ask questions, share experiences and connect with others who have pers"
Cloudy with a Chance of Pain,Arthritis,1540.0,A community for people with chronic pain or arthritis. Cloudy with a Chance of Pain is a UK smartphone study and citizen science experiment studying t
Cancer Journeys Foundation,Cancer,396.0,"The Cancer Journeys Foundation is a registered non-Profit Charity with the mission of providing cancer survivors and their supporters information, too"
Fasting and Furious,Fasting,1197.0,"Fasting and Furious is a community to chat about fasting and support others who know what hanger feels like! This includes, but isn't limited to: inte"
Diabetes South Africa,Diabetes,523.0,"Diabetes South Africa is a non-profit organization, founded in 1969 to be a support and an advocate for all people with diabetes in South Africa."
deafPLUS,Hearing & visually impaired,682.0,"We are an online community supporting  deaf, hard of hearing, visually impaired and older persons. Join us to share your experiences, discuss day-to-d"
C,Kidney health,299.0,Welcome to the National Kidney Foundation's C3G Community! Our goal is to be the definitive forum and database serving the needs of people living with
Living with a Stoma,Living with a stoma,1038.0,We are a peer support community for people who experienced stoma or are affected by stoma surgery on their bowel or bladder. Join us to discuss your c
EFA,Allergy & airways diseases,2095.0,European Federation of Allergy and Airways Diseases Patients’ Associations. We are a community dedicated to supporting those impacted by allergy and a
National Tremor Foundation,Tremor,,"The National Tremor Foundation (or NTF as we are known) is an organisation where we aim to provide help, support and advice to all those living with a"
Hunts Community Cancer Network,Cancer,110.0,"Hunts Community Cancer Network welcomes you to this site which is designed to support people recovering from, living with or experiencing the late eff"
HealthWeb Navigator,Healthweb navigator,236.0,"The goal of this community is to help patients to find the best resources about the health care. At HealthWeb Navigator, we evaluate healthcare websit"
Cook For Your Life,Cancer,657.0,"Cook for Your LIFE is a nonprofit organization whose mission is to improve the health of people touched by cancer. We give practical knowledge, tools,"
The Australian Sjögren's Syndrome Association,Sjögren's syndr.,2473.0,"The Australian Sjogren's Syndrome Association Inc. was incorporated in Parramatta in 2001, although due to illness of the founder, the association did"
World According to Lupus,Lupus,652.0,World According to Lupus is a community dedicated to providing reliable information and support to its members
FieryBones - RA Community,Arthritis,748.0,"Rheumatoid Arthritis, or RA, is a type of auto-immune disease where the body's immune system starts attacking its own tissues and joints. It can happe"
Down's Syndrome Support,Down's syndr.,325.0,We are a friendly support community for people living with or caring for someone with Down's syndrome. Join to connect with others who understand!Why 
Society for Women's Health Research,Women's health,178.0,Society for Women's Health Research is a community dedicated to providing reliable information and support to its members
Lymphoma Canada,Lymphoma,782.0,"Lymphoma affects many people, from patients, family and caregivers, to medical professionals and researchers. Lymphoma Canada connects and empowers th"
Stand Up,Chronic pain,,"Welcome to the START MOVING community. This is a place  where everyone with joint pain can give and get person-to-person support, and especially for w"
Cancer Support Scotland,Cancer,237.0,Cancer Support Scotland is here to provide emotional and practical support on a one-to-one basis and through community-based groups to anyone affected
Facial Palsy UK,Facial palsy,1175.0,"Facial Palsy UK exists to ensure that every person in the UK affected by facial palsy is given access to the best information, treatment and support a"
Living Positively with Cerebral Palsy,Cerebral palsy,464.0,I have Cerebral Palsy. I have had it since birth. I'm adult now.    What I have found is that there is a lot of information out there for parents who 
HFI Connect - Hepatitis,Hepatitis,965.0,"We are a peer support community for people affected by hepatitis. It is run by The Hepatitis Foundation International (HFI), a non-profit organization"
Hepatitis C Support,Hepatitis C,685.0,We are a friendly support community for people living with hepatitis C. Join to connect with others who understand!Why not share your story today: hea
MS Society,Multiple sclerosis,641.0,"We're the MS Society, we're a community of people living with or affected by MS.Whether you have MS, or care about someone who does, our community is "
Fight Bladder Cancer,Bladder cancer,1214.0,"Fight Bladder Cancer is a national charity supporting those with bladder cancer, campaigning to raise awareness and supporting medical research."
Adenomyosis Advice Association,Adenomyosis,863.0,"The Adenomyosis Advice Association founded in 2011 is headquartered in the United Kingdom.  It is an organisation that offers advice, support and info"
Unsalted Heart,Heart health,557.0,"Being heart healthy is more than just watching Saturated and Trans fats. If you have too much sodium/salt in your diet, it can continue to put you at "
OPA Palliative Care & Guidance,Palliative care,,"The Oesophageal Patients Association (OPA) aims to support those who have undergone, or may undergo, surgery and other treatments for oesophageal and "
PACEMAKERusers,Pacemaker users,47.0,PACEMAKERusers is a community dedicated to providing reliable information and support to its members.
Pseudomyxoma Survivor,Pseudomyxoma,117.0,"If you’ve found the Pseudomyxoma Survivor community, chances are you’ve been affected in some way by pseudomyxoma peritonei (PMP), appendix cancer or "
Mamafit,Mamafit,311.0,"Mamafit® is an award winning and leading health, fitness and wellbeing programme for pregnant women, mums and families. The Mamafit community is a pla"
Breast Cancer India,Breast cancer,3231.0,"Breast Cancer India is a non profit website, managed by professionals in the field of breast cancer, with an aim of disseminating correct and proper i"
Healthy Happy Woman,Healthy happy woman,2040.0,Back in 1997 I started an organisation called the Hysterectomy Association. 22 years later it closed and all the information moved to a new website ca
Kidney Health New Zealand,Kidney health,431.0,We support patients and their families living in New Zealand who have been impacted by kidney disease.
Hepatitis C Trust,Hepatitis C,751.0,The Hepatitis C Trust is the UK charity for hepatitis C. We support and advocate for people who have hepatitis C and who have had it in the past.Most 
Children With Cerebral Palsy,Children cerebral palsy,,"ere case, we are always here to support every one of them. Children with Cerebral Palsy is a campaign across the UK and South Korea to support and rai"
St Thomas Lupus Trust,Lupus,1396.0,"The St. Thomas Lupus Trust was set up as a registered charity in 1991. Its aim was, and still is, to fund 100% of the vital lupus research at St. Thom"
American Cancer Survivors,Cancer,492.0,"We are a peer support community for Americans who are fighting or have survived cancer. Here we share our stories, experiences, ask questions and supp"
Radiotherapy Cancer Treatment,Radiotherapy cancer,217.0,We are an online community for people who have experienced radiotherapy. Share your experiences and support one another through treatment and beyond!
Lupus Foundation of Florida,Lupus,783.0,"The Lupus Foundation of Florida provides support, education, referrals, advocacy and hope to those affected by lupus."
Quit,Quit smoking,852.0,"Quit4Life helps people living or working in HAMPSHIRE, UK, who want to stop smoking, are thinking of stopping smoking, or who have quit and want to st"
Finding a Living Donor: From Home,Finding a donor,23.0,Finding a Living Donor: From Home is a community dedicated to providing reliable information and support to its members.
Cavernoma Alliance UK,Cavernoma,441.0,"We are a community that supports those affected by cavernoma, otherwise known as cerebral cavernous malformations or cavernous angioma. What is a cave"
PCD Family Support Group (UK),Prim. ciliary dyskinesia,624.0,This volunteer-run group supports patients and families affected by Primary Ciliary Dyskinesia (PCD) in the UK. Any advice given is from a personal pe
FPA Contraception,Contraception,480.0,"We’re a sexual health charity. We give straightforward information and support on sexual health, sex and relationships . We aren't currently able to a"
OPA Caregivers,Oesophageal & gastric cancer,26.0,"For more than three decades, the OPA has fought against oesophageal and gastric cancers, raising awareness, supporting patients, caregivers and their "
Barrett's Oesophagus,Barrett's oesophagus,6.0,Barrett's Oesophagus is a community dedicated to providing reliable information and support to its members.
Partners for Behcet's,Partners for Behcet's,537.0,"We are a community dedicated to supporting those with Behcet’s Syndrome, which is a rare disease that sees the blood vessels become inflamed."
Leukodystrophy Support,Leukodystrophy,,"Welcome to Leukodystrophy Support, an online support community for anyone that is affected, directly or indirectly, by a leukodystrophy.This community"
Womb Cancer Support UK,Womb cancer,265.0,Womb Cancer Support UK was set up in April 2011 by womb cancer survivor Kaz Molloy. We offer support and information to women who have been diagnosed 
Melanoma Wellness Canada,Melanoma,92.0,Melanoma Wellness Canada is a group created and maintained by the Canadian melanoma patient group Save Your Skin Foundation. It exists as a place for 
Myeloma America Support,Myeloma,1239.0,"Welcome to the Myeloma America Support community! This is a safe space for anyone affected by myeloma to find support, share advice and meet others wh"
